gpu,batch,kv_len,heads,head_dim,dtype,runtime_s,latency_ms,tokens_per_s,approx_tflops,max_memory_gb,max_temperature_c,max_power_w
NVIDIA GH200 120GB,1,1024,64,128,float8_e4m3fn,0.004639455795288086,0.09278911590576172,10777.126069566368,0.36162034385669195,0.015648365020751953,27.0,128.15
NVIDIA GH200 120GB,1,4096,64,128,float8_e4m3fn,0.004588064193725586,0.09176128387451171,10897.842290083381,1.4626836322773082,0.06252336502075195,27.0,138.73
NVIDIA GH200 120GB,1,16384,64,128,float8_e4m3fn,0.007232704162597656,0.14465408325195311,6913.043707575383,3.7114120799818573,0.25002336502075195,27.0,145.27
NVIDIA GH200 120GB,1,65536,64,128,float8_e4m3fn,0.0271845760345459,0.543691520690918,1839.278270753992,3.9498200105659147,1.000023365020752,30.0,153.42
NVIDIA GH200 120GB,2,1024,64,128,float8_e4m3fn,0.0040869441032409665,0.08173888206481933,24468.159454566434,0.8210151925834065,0.0312962532043457,28.0,155.95
NVIDIA GH200 120GB,2,4096,64,128,float8_e4m3fn,0.004035903930664063,0.08071807861328124,24777.596721323873,3.3255927372363394,0.1250462532043457,28.0,156.65
NVIDIA GH200 120GB,2,16384,64,128,float8_e4m3fn,0.007727615833282471,0.15455231666564942,12940.601882576097,6.9474327345275455,0.5000462532043457,28.0,161.21
NVIDIA GH200 120GB,2,65536,64,128,float8_e4m3fn,0.02876652717590332,0.5753305435180665,3476.262511234459,7.465216899031417,2.0000462532043457,30.0,178.98
NVIDIA GH200 120GB,4,1024,64,128,float8_e4m3fn,0.003781343936920166,0.07562687873840332,52891.24801561856,1.7747357849352081,0.0625925064086914,28.0,178.7
NVIDIA GH200 120GB,4,4096,64,128,float8_e4m3fn,0.004318016052246094,0.08636032104492188,46317.56750787584,6.216638677393718,0.2500925064086914,28.0,169.34
NVIDIA GH200 120GB,4,16384,64,128,float8_e4m3fn,0.01499443244934082,0.2998886489868164,13338.28410483068,7.160936751875551,1.0000925064086914,29.0,178.54
NVIDIA GH200 120GB,4,65536,64,128,float8_e4m3fn,0.0583644790649414,1.1672895812988282,3426.7417991936936,7.3588719796865565,4.000092506408691,34.0,203.42
NVIDIA GH200 120GB,8,1024,64,128,float8_e4m3fn,0.003555327892303467,0.07110655784606934,112507.20386885143,3.775115321727512,0.1251850128173828,29.0,211.55
NVIDIA GH200 120GB,8,4096,64,128,float8_e4m3fn,0.008307552337646485,0.1661510467529297,48148.95937367267,6.4624439326986485,0.5001850128173828,28.0,197.94
NVIDIA GH200 120GB,8,16384,64,128,float8_e4m3fn,0.029921600341796875,0.5984320068359374,13368.26892381315,7.177034728988824,2.000185012817383,32.0,213.73
NVIDIA GH200 120GB,8,65536,64,128,float8_e4m3fn,0.12274467468261718,2.4548934936523437,3258.7971823159437,6.998213661171964,8.000185012817383,35.0,267.37
