gpu,batch,seq_len,heads,head_dim,dtype,latency_ms,tokens_per_s,approx_tflops,max_memory_gb,temperature_c,power_w
NVIDIA GH200 120GB,1,1024,64,128,bfloat16,0.10147306919097901,10091347.469472561,338.6094324527891,0.0627450942993164,25.0,115.5
NVIDIA GH200 120GB,1,2048,64,128,bfloat16,0.2904842694600423,7050295.714142667,473.1373362401831,0.1254892349243164,25.0,127.22
NVIDIA GH200 120GB,1,4096,64,128,bfloat16,0.9546858469645182,4290416.59413249,575.849967437961,0.2509775161743164,27.0,153.58
NVIDIA GH200 120GB,1,8192,64,128,bfloat16,3.8754122416178385,2113839.6354396995,567.4295064501295,0.5019540786743164,28.0,227.66
NVIDIA GH200 120GB,1,16384,64,128,bfloat16,14.889900716145833,1100343.1327271406,590.742221180157,1.0039072036743164,32.0,433.57
NVIDIA GH200 120GB,1,32768,64,128,bfloat16,57.28805338541667,571986.6196106686,614.1659562443535,2.0078134536743164,33.0,502.8
NVIDIA GH200 120GB,1,65536,64,128,bfloat16,229.55794270833334,285487.83469133667,613.0804567025726,4.015625953674316,36.0,543.48
NVIDIA GH200 120GB,2,1024,64,128,bfloat16,0.1669952074686686,12263824.9985961,411.50568197529293,0.1254892349243164,32.0,463.99
NVIDIA GH200 120GB,2,2048,64,128,bfloat16,0.5223370552062988,7841679.925201306,526.2462316318646,0.2509775161743164,31.0,392.64
NVIDIA GH200 120GB,2,4096,64,128,bfloat16,1.9176010131835937,4272004.417853156,573.3787269702133,0.5019540786743164,33.0,339.43
NVIDIA GH200 120GB,2,8192,64,128,bfloat16,7.680411783854167,2133218.9550620965,572.6316029499374,1.0039072036743164,33.0,309.8
NVIDIA GH200 120GB,2,16384,64,128,bfloat16,29.154036458333334,1123961.0009691697,603.421967642751,2.0078134536743164,38.0,524.46
NVIDIA GH200 120GB,2,32768,64,128,bfloat16,114.0415283203125,574667.8509597549,617.0449064836873,4.015625953674316,35.0,510.02
NVIDIA GH200 120GB,2,65536,64,128,bfloat16,458.10706380208336,286116.5224394514,614.430553361347,8.031250953674316,35.0,518.69
NVIDIA GH200 120GB,4,1024,64,128,bfloat16,0.30282665888468424,13525889.745260995,453.8535476968574,0.2509775161743164,32.0,441.24
NVIDIA GH200 120GB,4,2048,64,128,bfloat16,0.9910655975341797,8265850.434504136,554.711832653479,0.5019540786743164,31.0,380.24
NVIDIA GH200 120GB,4,4096,64,128,bfloat16,3.8871968587239585,4214862.430553193,565.7092592614074,1.0039072036743164,32.0,322.86
NVIDIA GH200 120GB,4,8192,64,128,bfloat16,15.190076700846355,2157197.797307649,579.0683744024743,2.0078134536743164,34.0,428.27
NVIDIA GH200 120GB,4,16384,64,128,bfloat16,57.65205078125,1136750.5424683709,610.288300451489,4.015625953674316,41.0,532.19
NVIDIA GH200 120GB,4,32768,64,128,bfloat16,226.57771809895834,578485.8330277384,621.1444335133632,8.031250953674316,36.0,520.03
NVIDIA GH200 120GB,4,65536,64,128,bfloat16,916.1197916666666,286145.9848204895,614.4938233428574,16.062500953674316,39.0,536.57
NVIDIA GH200 120GB,8,1024,64,128,bfloat16,0.5520714441935222,14838659.173844881,497.90278021995425,0.5019540786743164,36.0,465.07
NVIDIA GH200 120GB,8,2048,64,128,bfloat16,2.0039285024007163,8175940.3992567025,548.6780723258238,1.0039072036743164,32.0,373.73
NVIDIA GH200 120GB,8,4096,64,128,bfloat16,7.9524180094401045,4120507.745078538,553.0451877508445,2.0078134536743164,39.0,328.58
NVIDIA GH200 120GB,8,8192,64,128,bfloat16,30.022723388671874,2182879.919039188,585.9623664605275,4.015625953674316,38.0,496.28
NVIDIA GH200 120GB,8,16384,64,128,bfloat16,114.86952311197916,1141051.1374041839,612.5971647768215,8.031250953674316,38.0,504.93
NVIDIA GH200 120GB,8,32768,64,128,bfloat16,449.68450520833335,582950.9288485532,625.9387936443397,16.062500953674316,37.0,550.16
NVIDIA GH200 120GB,8,65536,64,128,bfloat16,1825.2302083333334,287244.8623775197,616.853644927734,32.125000953674316,38.0,535.83
NVIDIA GH200 120GB,16,1024,64,128,bfloat16,1.0669855753580728,15355409.087420557,515.2420300560351,1.0039072036743164,33.0,437.05
NVIDIA GH200 120GB,16,2048,64,128,bfloat16,4.328138732910157,7570921.826243641,508.0759631920161,2.0078134536743164,33.0,379.36
NVIDIA GH200 120GB,16,4096,64,128,bfloat16,15.799086507161459,4148087.927127536,556.7469371232875,4.015625953674316,35.0,438.64
NVIDIA GH200 120GB,16,8192,64,128,bfloat16,59.222554524739586,2213210.8459665664,594.104262661181,8.031250953674316,38.0,519.32
NVIDIA GH200 120GB,16,16384,64,128,bfloat16,228.06481119791667,1149427.6500749127,617.0942707737353,16.062500953674316,43.0,546.94
NVIDIA GH200 120GB,16,32768,64,128,bfloat16,896.6160807291667,584740.795161321,627.8606479637272,32.125000953674316,39.0,539.32
NVIDIA GH200 120GB,16,65536,64,128,bfloat16,3668.51875,285830.8956441888,613.8171744890899,64.25000095367432,36.0,526.63
