gpu,batch,seq_len,heads,head_dim,dtype,runtime_s,latency_ms,tokens_per_s,approx_tflops,max_memory_gb,max_temperature_c,max_power_w
NVIDIA GB10,1,1024,64,128,float16,0.011360416412353516,0.757361094156901,1352063.1148077694,45.36770984552549,0.0627450942993164,35.0,6.01
NVIDIA GB10,1,4096,64,128,float16,0.14104541015625,9.40302734375,435604.3910392888,58.4658316721169,0.2509775161743164,35.0,6.91
NVIDIA GB10,1,16384,64,128,float16,2.089172607421875,139.278173828125,117635.08631451851,63.154856072874274,1.0039072036743164,36.0,11.79
NVIDIA GB10,1,65536,64,128,float16,33.01190234375,2200.793489583333,29778.350540471492,63.948520850074495,4.015625953674316,38.0,12.2
NVIDIA GB10,2,1024,64,128,float16,0.02379529571533203,1.5863530476888021,1291011.4825850292,43.31915700361855,0.1254892349243164,38.0,11.58
NVIDIA GB10,2,4096,64,128,float16,0.277853759765625,18.523583984375,442247.029889578,59.35739156652725,0.5019540786743164,38.0,11.53
NVIDIA GB10,2,16384,64,128,float16,4.1748984375,278.3265625,117732.2053118807,63.20699643756063,2.0078134536743164,38.0,12.04
NVIDIA GB10,2,65536,64,128,float16,66.0093671875,4400.624479166667,29784.86363026838,63.96250760391126,8.031250953674316,39.0,12.45
NVIDIA GB10,4,1024,64,128,float16,0.043541759490966794,2.902783966064453,1411059.192790461,47.347289732462414,0.2509775161743164,39.0,11.56
NVIDIA GB10,4,4096,64,128,float16,0.5512095947265625,36.74730631510417,445855.8093893734,59.84175375184277,1.0039072036743164,39.0,11.54
NVIDIA GB10,4,16384,64,128,float16,8.3311533203125,555.4102213541667,117995.66785107808,63.348441811257366,4.015625953674316,39.0,12.23
NVIDIA GB10,4,65536,64,128,float16,131.853828125,8790.255208333334,29822.114806346275,64.04250389540731,16.062500953674316,39.0,12.44
NVIDIA GB10,8,1024,64,128,float16,0.08315331268310547,5.5435541788736975,1477752.3111832193,49.58513943844017,0.5019540786743164,39.0,10.51
NVIDIA GB10,8,4096,64,128,float16,1.1017528076171874,73.45018717447917,446125.47987332416,59.877948311507296,2.0078134536743164,39.0,12.07
NVIDIA GB10,8,16384,64,128,float16,16.6421328125,1109.4755208333333,118138.70386392219,63.425233685921825,8.031250953674316,39.0,12.18
NVIDIA GB10,8,65536,64,128,float16,263.77559375,17585.039583333335,29814.43388372621,64.02600923967917,32.125000953674316,39.0,12.33
